ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,afrono,andy,arti,az,bane,barrel,bebr,bitto,boss,cako,chaeix,chaos,collen,dan,dem,deo,dire,dis,dowolf,drj133,ema,fl81,gall,gin,haste,hb,hbj,horita,hotdog,hunj,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,kong,korji,lasa,lefty,lem,lilly,mac,maple,mark,max,mega,mihark,monkey,neko,nfun,ogura,p0,para,place,plas,pony,prince,prod,prody,pyre,rwlh,sea,sergio,skull,sly,taff,tazzy,tgs,tked,tre,tunnel,turus,uf8,ulti,wave,xuxon,xx521,zel,zts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Now you're a hero,Air Ride - Sky Sands,14,40,54,26,Air Ride - Sky Sands,,Now you're a hero,,Air Ride - Sky Sands,Now you're a hero,Now you're a hero,,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,,,,Now you're a hero,Now you're a hero,Air Ride - Sky Sands,,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,,Now you're a hero,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,,Now you're a hero,Air Ride - Sky Sands,,,,,Now you're a hero,Air Ride - Sky Sands,,Air Ride - Sky Sands,Now you're a hero,,Air Ride - Sky Sands,Now you're a hero,Air Ride - Sky Sands,,,Air Ride - Sky Sands,,,Air Ride - Sky Sands,,Now you're a hero,,Now you're a hero,Air Ride - Sky Sands,,Air Ride - Sky Sands,Now you're a hero,,Air Ride - Sky Sands,Now you're a hero,Air Ride - Sky Sands,,Air Ride - Sky Sands,,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,Air Ride - Sky Sands,,Air Ride - Sky Sands,,Air Ride - Sky Sands,Air Ride - Sky Sands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight of the World/Nouveau-FR Version,
60,Spheres,DEAR MY WAKER,30,20,50,10,Spheres,,,,Spheres,DEAR MY WAKER,DEAR MY WAKER,,,,,,Spheres,,,DEAR MY WAKER,DEAR MY WAKER,,Spheres,Spheres,Spheres,,Spheres,Spheres,DEAR MY WAKER,DEAR MY WAKER,,Spheres,DEAR MY WAKER,Spheres,Spheres,Spheres,,DEAR MY WAKER,Spheres,DEAR MY WAKER,Spheres,Spheres,DEAR MY WAKER,Spheres,,,,,DEAR MY WAKER,DEAR MY WAKER,,DEAR MY WAKER,Spheres,,Spheres,DEAR MY WAKER,,,,Spheres,,,Spheres,,,Spheres,DEAR MY WAKER,Spheres,,Spheres,Spheres,,Spheres,Spheres,DEAR MY WAKER,,Spheres,,Spheres,DEAR MY WAKER,Spheres,DEAR MY WAKER,DEAR MY WAKER,,Spheres,Spheres,DEAR MY WAKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Stage 5 - Research Facility,Ar-ciel Ar-manaf,31,18,49,13,Stage 5 - Research Facility,,,,Stage 5 - Research Facility,Ar-ciel Ar-manaf,Ar-ciel Ar-manaf,,,,,,Stage 5 - Research Facility,,,Stage 5 - Research Facility,Stage 5 - Research Facility,,Stage 5 - Research Facility,Stage 5 - Research Facility,Ar-ciel Ar-manaf,,Ar-ciel Ar-manaf,Stage 5 - Research Facility,Ar-ciel Ar-manaf,Stage 5 - Research Facility,,Stage 5 - Research Facility,Stage 5 - Research Facility,Stage 5 - Research Facility,Stage 5 - Research Facility,Stage 5 - Research Facility,,Stage 5 - Research Facility,Stage 5 - Research Facility,Ar-ciel Ar-manaf,Stage 5 - Research Facility,Stage 5 - Research Facility,Ar-ciel Ar-manaf,Stage 5 - Research Facility,,,,,Stage 5 - Research Facility,Ar-ciel Ar-manaf,,Ar-ciel Ar-manaf,Ar-ciel Ar-manaf,,Ar-ciel Ar-manaf,Stage 5 - Research Facility,,,,Stage 5 - Research Facility,,,Ar-ciel Ar-manaf,,,Stage 5 - Research Facility,Ar-ciel Ar-manaf,Ar-ciel Ar-manaf,,Ar-ciel Ar-manaf,Stage 5 - Research Facility,,Stage 5 - Research Facility,Stage 5 - Research Facility,Stage 5 - Research Facility,,Stage 5 - Research Facility,,Stage 5 - Research Facility,Ar-ciel Ar-manaf,Stage 5 - Research Facility,Ar-ciel Ar-manaf,,,Ar-ciel Ar-manaf,Stage 5 - Research Facility,Stage 5 - Research Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,VERSUSIA,Brain Expander (Ruins Stage),21,28,49,7,Brain Expander (Ruins Stage),,,,Brain Expander (Ruins Stage),VERSUSIA,VERSUSIA,,,,,,Brain Expander (Ruins Stage),,,Brain Expander (Ruins Stage),Brain Expander (Ruins Stage),,Brain Expander (Ruins Stage),VERSUSIA,VERSUSIA,,Brain Expander (Ruins Stage),Brain Expander (Ruins Stage),VERSUSIA,Brain Expander (Ruins Stage),,Brain Expander (Ruins Stage),VERSUSIA,Brain Expander (Ruins Stage),Brain Expander (Ruins Stage),Brain Expander (Ruins Stage),,VERSUSIA,Brain Expander (Ruins Stage),VERSUSIA,Brain Expander (Ruins Stage),Brain Expander (Ruins Stage),VERSUSIA,Brain Expander (Ruins Stage),,,,,Brain Expander (Ruins Stage),VERSUSIA,,VERSUSIA,VERSUSIA,,VERSUSIA,Brain Expander (Ruins Stage),,,,Brain Expander (Ruins Stage),,,VERSUSIA,,,Brain Expander (Ruins Stage),VERSUSIA,Brain Expander (Ruins Stage),,VERSUSIA,Brain Expander (Ruins Stage),,Brain Expander (Ruins Stage),Brain Expander (Ruins Stage),VERSUSIA,,Brain Expander (Ruins Stage),,Brain Expander (Ruins Stage),VERSUSIA,Brain Expander (Ruins Stage),VERSUSIA,,,VERSUSIA,Brain Expander (Ruins Stage),VERSUSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Mysterious Planet (Another World),Parallel Damacy,30,27,57,3,Mysterious Planet (Another World),,Parallel Damacy,Mysterious Planet (Another World),Mysterious Planet (Another World),Parallel Damacy,Mysterious Planet (Another World),,,,Parallel Damacy,,Parallel Damacy,Mysterious Planet (Another World),Mysterious Planet (Another World),Mysterious Planet (Another World),Mysterious Planet (Another World),,Mysterious Planet (Another World),Mysterious Planet (Another World),Parallel Damacy,Mysterious Planet (Another World),Mysterious Planet (Another World),Parallel Damacy,Mysterious Planet (Another World),Mysterious Planet (Another World),,Parallel Damacy,Mysterious Planet (Another World),,Parallel Damacy,Parallel Damacy,,Parallel Damacy,Parallel Damacy,Parallel Damacy,Parallel Damacy,,Mysterious Planet (Another World),Mysterious Planet (Another World),,,,Parallel Damacy,Mysterious Planet (Another World),Mysterious Planet (Another World),,Parallel Damacy,Mysterious Planet (Another World),,Parallel Damacy,Parallel Damacy,,,,,,,Parallel Damacy,Parallel Damacy,,Mysterious Planet (Another World),Mysterious Planet (Another World),Parallel Damacy,,Parallel Damacy,Mysterious Planet (Another World),,Parallel Damacy,Parallel Damacy,Mysterious Planet (Another World),,Mysterious Planet (Another World),Parallel Damacy,Mysterious Planet (Another World),Mysterious Planet (Another World),Parallel Damacy,Parallel Damacy,Mysterious Planet (Another World),,Mysterious Planet (Another World),Mysterious Planet (Another World),Mysterious Planet (Another World),Parallel Damacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nazca no Oka
64,Miralodia Expressway,Amber Scenery,33,24,57,9,Miralodia Expressway,,Amber Scenery,Miralodia Expressway,Miralodia Expressway,Amber Scenery,Amber Scenery,,,,Amber Scenery,,Miralodia Expressway,Amber Scenery,Amber Scenery,Miralodia Expressway,Amber Scenery,,Amber Scenery,Miralodia Expressway,Miralodia Expressway,Miralodia Expressway,Miralodia Expressway,Amber Scenery,Amber Scenery,Amber Scenery,,Miralodia Expressway,Amber Scenery,,Miralodia Expressway,Miralodia Expressway,,Amber Scenery,Amber Scenery,Amber Scenery,Miralodia Expressway,,Amber Scenery,Miralodia Expressway,,,,Miralodia Expressway,Miralodia Expressway,Amber Scenery,,Amber Scenery,Amber Scenery,,Miralodia Expressway,Miralodia Expressway,,,,Miralodia Expressway,,,Miralodia Expressway,Amber Scenery,,Miralodia Expressway,Miralodia Expressway,Miralodia Expressway,,Miralodia Expressway,,,Miralodia Expressway,Amber Scenery,Miralodia Expressway,,Miralodia Expressway,Amber Scenery,Miralodia Expressway,Miralodia Expressway,Miralodia Expressway,Amber Scenery,Miralodia Expressway,,Amber Scenery,Miralodia Expressway,Miralodia Expressway,Miralodia Expressway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Main Theme,The Best Is Yet To Come,25,32,57,7,The Best Is Yet To Come,,Main Theme,The Best Is Yet To Come,Main Theme,The Best Is Yet To Come,The Best Is Yet To Come,,,,The Best Is Yet To Come,,The Best Is Yet To Come,The Best Is Yet To Come,The Best Is Yet To Come,Main Theme,The Best Is Yet To Come,,Main Theme,Main Theme,Main Theme,The Best Is Yet To Come,Main Theme,Main Theme,The Best Is Yet To Come,Main Theme,,Main Theme,The Best Is Yet To Come,,The Best Is Yet To Come,Main Theme,,The Best Is Yet To Come,The Best Is Yet To Come,Main Theme,The Best Is Yet To Come,,Main Theme,Main Theme,,,,The Best Is Yet To Come,The Best Is Yet To Come,The Best Is Yet To Come,,Main Theme,Main Theme,,The Best Is Yet To Come,Main Theme,,,,Main Theme,,,The Best Is Yet To Come,Main Theme,,Main Theme,The Best Is Yet To Come,The Best Is Yet To Come,,The Best Is Yet To Come,The Best Is Yet To Come,,The Best Is Yet To Come,The Best Is Yet To Come,Main Theme,,Main Theme,,Main Theme,The Best Is Yet To Come,The Best Is Yet To Come,The Best Is Yet To Come,The Best Is Yet To Come,,The Best Is Yet To Come,The Best Is Yet To Come,Main Theme,Main Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,title,halved halved halved,41,11,52,30,title,,title,title,title,title,title,,,,title,,,,,title,,,halved halved halved,title,title,title,halved halved halved,,title,title,,halved halved halved,title,title,halved halved halved,title,,title,title,title,halved halved halved,,title,title,,,,title,title,title,,title,halved halved halved,,title,title,,,,halved halved halved,,,title,,title,title,title,title,,,title,,halved halved halved,title,title,,title,title,halved halved halved,title,halved halved halved,title,halved halved halved,,title,title,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Entry into The Crater -PART2-,Warning Call,30,24,54,6,Entry into The Crater -PART2-,,Warning Call,Entry into The Crater -PART2-,Warning Call,Warning Call,Warning Call,,,,Warning Call,,Entry into The Crater -PART2-,,,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,Warning Call,Entry into The Crater -PART2-,Warning Call,Warning Call,Warning Call,,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,Entry into The Crater -PART2-,Warning Call,Warning Call,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,Warning Call,Entry into The Crater -PART2-,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,Entry into The Crater -PART2-,Warning Call,,,,Entry into The Crater -PART2-,Entry into The Crater -PART2-,Warning Call,,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,Warning Call,Entry into The Crater -PART2-,,,,Entry into The Crater -PART2-,,,Entry into The Crater -PART2-,,Warning Call,Warning Call,Warning Call,Entry into The Crater -PART2-,,,Entry into The Crater -PART2-,,Entry into The Crater -PART2-,Entry into The Crater -PART2-,Warning Call,,Warning Call,Entry into The Crater -PART2-,Entry into The Crater -PART2-,Warning Call,Entry into The Crater -PART2-,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,Warning Call,Warning Call,Warning Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,23,31,54,8,Outta My Way ...It's Happy Hour!,,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,,,,About Ten Hours Looking at the Ceiling,,About Ten Hours Looking at the Ceiling,,,Outta My Way ...It's Happy Hour!,About Ten Hours Looking at the Ceiling,,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,About Ten Hours Looking at the Ceiling,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,,About Ten Hours Looking at the Ceiling,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,About Ten Hours Looking at the Ceiling,,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,,,,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,,,,About Ten Hours Looking at the Ceiling,,,Outta My Way ...It's Happy Hour!,,Outta My Way ...It's Happy Hour!,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,,,About Ten Hours Looking at the Ceiling,,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,Outta My Way ...It's Happy Hour!,About Ten Hours Looking at the Ceiling,About Ten Hours Looking at the Ceiling,About Ten Hours Looking at the Ceiling,About Ten Hours Looking at the Ceiling,,About Ten Hours Looking at the Ceiling,Outta My Way ...It's Happy Hour!,About Ten Hours Looking at the Ceiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Plague,FIGHT!! Ver.1,27,31,58,4,FIGHT!! Ver.1,,FIGHT!! Ver.1,Plague,FIGHT!! Ver.1,FIGHT!! Ver.1,FIGHT!! Ver.1,,,,FIGHT!! Ver.1,,Plague,FIGHT!! Ver.1,FIGHT!! Ver.1,Plague,FIGHT!! Ver.1,,FIGHT!! Ver.1,FIGHT!! Ver.1,FIGHT!! Ver.1,Plague,,Plague,FIGHT!! Ver.1,FIGHT!! Ver.1,,Plague,FIGHT!! Ver.1,FIGHT!! Ver.1,Plague,Plague,,FIGHT!! Ver.1,Plague,FIGHT!! Ver.1,Plague,,Plague,Plague,,,,Plague,FIGHT!! Ver.1,FIGHT!! Ver.1,,FIGHT!! Ver.1,Plague,,Plague,FIGHT!! Ver.1,,,,Plague,,,Plague,Plague,,FIGHT!! Ver.1,Plague,Plague,,FIGHT!! Ver.1,FIGHT!! Ver.1,,Plague,FIGHT!! Ver.1,FIGHT!! Ver.1,,Plague,FIGHT!! Ver.1,Plague,FIGHT!! Ver.1,Plague,Plague,FIGHT!! Ver.1,,FIGHT!! Ver.1,Plague,FIGHT!! Ver.1,Plague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Sophisticated Fight,Battle -alkalic acid rush-,33,26,59,7,Sophisticated Fight,,Sophisticated Fight,Sophisticated Fight,Sophisticated Fight,Sophisticated Fight,Battle -alkalic acid rush-,,,,Battle -alkalic acid rush-,,Sophisticated Fight,Battle -alkalic acid rush-,Battle -alkalic acid rush-,Sophisticated Fight,Sophisticated Fight,,Sophisticated Fight,Sophisticated Fight,Sophisticated Fight,Battle -alkalic acid rush-,,Battle -alkalic acid rush-,Sophisticated Fight,Battle -alkalic acid rush-,,Sophisticated Fight,Sophisticated Fight,Sophisticated Fight,Battle -alkalic acid rush-,Battle -alkalic acid rush-,,Sophisticated Fight,Battle -alkalic acid rush-,Sophisticated Fight,Battle -alkalic acid rush-,,Battle -alkalic acid rush-,Sophisticated Fight,,,,Sophisticated Fight,Sophisticated Fight,Sophisticated Fight,,Battle -alkalic acid rush-,Battle -alkalic acid rush-,,Battle -alkalic acid rush-,Battle -alkalic acid rush-,,,,Sophisticated Fight,,,Sophisticated Fight,Battle -alkalic acid rush-,Sophisticated Fight,Battle -alkalic acid rush-,Sophisticated Fight,Battle -alkalic acid rush-,,Sophisticated Fight,Battle -alkalic acid rush-,,Battle -alkalic acid rush-,Battle -alkalic acid rush-,Sophisticated Fight,,Sophisticated Fight,Battle -alkalic acid rush-,Sophisticated Fight,Sophisticated Fight,Battle -alkalic acid rush-,Battle -alkalic acid rush-,Sophisticated Fight,,Sophisticated Fight,Battle -alkalic acid rush-,Sophisticated Fight,Sophisticated Fight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,No One Cares About the Letter L,We All Lift Together,35,23,58,12,No One Cares About the Letter L,,We All Lift Together,No One Cares About the Letter L,We All Lift Together,We All Lift Together,We All Lift Together,,,,We All Lift Together,,No One Cares About the Letter L,We All Lift Together,We All Lift Together,No One Cares About the Letter L,No One Cares About the Letter L,,No One Cares About the Letter L,No One Cares About the Letter L,We All Lift Together,We All Lift Together,,No One Cares About the Letter L,No One Cares About the Letter L,No One Cares About the Letter L,,No One Cares About the Letter L,We All Lift Together,No One Cares About the Letter L,No One Cares About the Letter L,No One Cares About the Letter L,,We All Lift Together,We All Lift Together,No One Cares About the Letter L,No One Cares About the Letter L,,We All Lift Together,No One Cares About the Letter L,,,,No One Cares About the Letter L,We All Lift Together,We All Lift Together,,We All Lift Together,No One Cares About the Letter L,,No One Cares About the Letter L,No One Cares About the Letter L,,,,No One Cares About the Letter L,,,No One Cares About the Letter L,No One Cares About the Letter L,We All Lift Together,No One Cares About the Letter L,No One Cares About the Letter L,No One Cares About the Letter L,,No One Cares About the Letter L,No One Cares About the Letter L,,No One Cares About the Letter L,We All Lift Together,We All Lift Together,,No One Cares About the Letter L,We All Lift Together,No One Cares About the Letter L,We All Lift Together,No One Cares About the Letter L,We All Lift Together,No One Cares About the Letter L,,,No One Cares About the Letter L,We All Lift Together,No One Cares About the Letter L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Two of Everything,Stage 6,15,42,57,27,Stage 6,,Stage 6,Stage 6,Two of Everything,Two of Everything,Two of Everything,,Two of Everything,,Two of Everything,,Stage 6,,,Stage 6,Stage 6,,Stage 6,Stage 6,Stage 6,Stage 6,,Stage 6,Stage 6,Two of Everything,,Stage 6,Stage 6,Two of Everything,Stage 6,Stage 6,,Two of Everything,Two of Everything,Stage 6,Stage 6,,Stage 6,Stage 6,,,Stage 6,Stage 6,Stage 6,Stage 6,,Stage 6,Two of Everything,,Two of Everything,Stage 6,,,,Stage 6,,,Stage 6,Stage 6,Stage 6,Stage 6,Stage 6,,,Two of Everything,Stage 6,,Stage 6,Stage 6,Two of Everything,,Stage 6,Stage 6,Stage 6,Two of Everything,Stage 6,Stage 6,Stage 6,,,Stage 6,Stage 6,Two of Everything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,get the regret over,The Moving Fortress,24,32,56,8,The Moving Fortress,,get the regret over,The Moving Fortress,The Moving Fortress,get the regret over,The Moving Fortress,,,,The Moving Fortress,,The Moving Fortress,,,The Moving Fortress,get the regret over,,The Moving Fortress,The Moving Fortress,The Moving Fortress,get the regret over,,get the regret over,get the regret over,The Moving Fortress,,get the regret over,get the regret over,The Moving Fortress,The Moving Fortress,The Moving Fortress,,The Moving Fortress,The Moving Fortress,The Moving Fortress,The Moving Fortress,,The Moving Fortress,get the regret over,,,get the regret over,get the regret over,get the regret over,get the regret over,,The Moving Fortress,The Moving Fortress,,get the regret over,The Moving Fortress,,,,,,,get the regret over,The Moving Fortress,get the regret over,The Moving Fortress,The Moving Fortress,,,get the regret over,get the regret over,,The Moving Fortress,The Moving Fortress,get the regret over,,The Moving Fortress,get the regret over,The Moving Fortress,get the regret over,The Moving Fortress,The Moving Fortress,get the regret over,,The Moving Fortress,The Moving Fortress,get the regret over,get the regret over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,At Her Doorstep (Aspera 1),VI. THE SWORD,32,25,57,7,At Her Doorstep (Aspera 1),,At Her Doorstep (Aspera 1),VI. THE SWORD,At Her Doorstep (Aspera 1),VI. THE SWORD,At Her Doorstep (Aspera 1),,,,At Her Doorstep (Aspera 1),,VI. THE SWORD,,,VI. THE SWORD,At Her Doorstep (Aspera 1),,VI. THE SWORD,At Her Doorstep (Aspera 1),VI. THE SWORD,At Her Doorstep (Aspera 1),,VI. THE SWORD,VI. THE SWORD,VI. THE SWORD,,VI. THE SWORD,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),VI. THE SWORD,VI. THE SWORD,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),VI. THE SWORD,VI. THE SWORD,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),VI. THE SWORD,,VI. THE SWORD,At Her Doorstep (Aspera 1),,VI. THE SWORD,At Her Doorstep (Aspera 1),,,,,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),VI. THE SWORD,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),,,At Her Doorstep (Aspera 1),VI. THE SWORD,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),,At Her Doorstep (Aspera 1),VI. THE SWORD,At Her Doorstep (Aspera 1),VI. THE SWORD,VI. THE SWORD,VI. THE SWORD,VI. THE SWORD,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),VI. THE SWORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Mount Jingara Descending,Silly Billy,41,19,60,22,Mount Jingara Descending,,Silly Billy,Mount Jingara Descending,Silly Billy,Mount Jingara Descending,Silly Billy,,,Mount Jingara Descending,,,Mount Jingara Descending,,Silly Billy,Mount Jingara Descending,Mount Jingara Descending,,Mount Jingara Descending,Silly Billy,Mount Jingara Descending,Silly Billy,,Mount Jingara Descending,Mount Jingara Descending,Silly Billy,,Mount Jingara Descending,Mount Jingara Descending,Silly Billy,Mount Jingara Descending,Mount Jingara Descending,,Silly Billy,Mount Jingara Descending,Mount Jingara Descending,Mount Jingara Descending,,Mount Jingara Descending,Silly Billy,Silly Billy,,Mount Jingara Descending,Mount Jingara Descending,Mount Jingara Descending,Mount Jingara Descending,,Silly Billy,Silly Billy,,Mount Jingara Descending,Mount Jingara Descending,Silly Billy,,,Mount Jingara Descending,,,Mount Jingara Descending,,Silly Billy,Mount Jingara Descending,Mount Jingara Descending,Mount Jingara Descending,,Silly Billy,Mount Jingara Descending,,Mount Jingara Descending,Mount Jingara Descending,Silly Billy,,Silly Billy,Mount Jingara Descending,Mount Jingara Descending,Mount Jingara Descending,Mount Jingara Descending,Mount Jingara Descending,Mount Jingara Descending,,Mount Jingara Descending,Silly Billy,Mount Jingara Descending,Mount Jingara Descending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,assemble,Hero,43,16,59,27,assemble,,Hero,assemble,Hero,Hero,assemble,,,assemble,,,assemble,,assemble,assemble,assemble,,assemble,assemble,assemble,Hero,,assemble,Hero,Hero,,assemble,assemble,assemble,assemble,assemble,,assemble,Hero,assemble,assemble,,assemble,assemble,Hero,,assemble,assemble,assemble,Hero,,Hero,assemble,,assemble,assemble,Hero,,,assemble,,,assemble,,assemble,assemble,Hero,assemble,,assemble,assemble,,assemble,assemble,Hero,,assemble,,assemble,Hero,assemble,Hero,assemble,,assemble,assemble,Hero,assemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
