ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,akk,ama,andy,arti,azu,barrel,bebr,cako,cap,chaeix,chaos,collen,crest,dan,dem,deo,devi,dire,dis,dowolf,dragon,drj133,ema,fivda,fl81,flam,gall,gba,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kid,koala,korji,lasa,lefty,lem,mac,marg,mark,max,mega,mihark,moon,mzero,nfun,orange,p0,pablo,para,pixel,place,plas,pony,prince,prod,prody,pyre,rev,rika,rwlh,sceptile,sergio,shark,skull,sly,taffer,tazzy,tennis,tgs,tked,tre,tunnel,turus,uf8,wave,xx521,yhen,zel
38,Deluged Depths,Ocean Palace,34,31,65,3,Deluged Depths,,Deluged Depths,Ocean Palace,Ocean Palace,Ocean Palace,Ocean Palace,Deluged Depths,,,,,,Deluged Depths,,Ocean Palace,,Deluged Depths,Ocean Palace,Ocean Palace,Ocean Palace,Deluged Depths,Deluged Depths,Deluged Depths,Deluged Depths,Deluged Depths,Deluged Depths,,Deluged Depths,,Deluged Depths,,Ocean Palace,Ocean Palace,Deluged Depths,Deluged Depths,Ocean Palace,Ocean Palace,Ocean Palace,Deluged Depths,Deluged Depths,Ocean Palace,Deluged Depths,Ocean Palace,,Ocean Palace,,Ocean Palace,Ocean Palace,Ocean Palace,Ocean Palace,,Deluged Depths,Deluged Depths,,,Ocean Palace,Deluged Depths,Ocean Palace,Deluged Depths,Deluged Depths,Ocean Palace,Ocean Palace,Deluged Depths,Deluged Depths,Deluged Depths,Deluged Depths,Deluged Depths,Ocean Palace,Deluged Depths,,,Deluged Depths,Deluged Depths,Deluged Depths,Deluged Depths,Ocean Palace,Ocean Palace,Ocean Palace,Ocean Palace,,Deluged Depths,Deluged Depths,Ocean Palace,Deluged Depths,Ocean Palace,Ocean Palace,Ocean Palace,Ocean Palace,,Ocean Palace
39,Tokyo,Love the Subhuman Self,35,33,68,2,Tokyo,,,,Tokyo,Love the Subhuman Self,Tokyo,Love the Subhuman Self,,Tokyo,,,Love the Subhuman Self,Love the Subhuman Self,,Love the Subhuman Self,,Love the Subhuman Self,Love the Subhuman Self,Love the Subhuman Self,Tokyo,Love the Subhuman Self,Tokyo,Tokyo,,Tokyo,Love the Subhuman Self,,Tokyo,,Love the Subhuman Self,Tokyo,Love the Subhuman Self,Tokyo,Love the Subhuman Self,Love the Subhuman Self,Love the Subhuman Self,Tokyo,Love the Subhuman Self,Love the Subhuman Self,Tokyo,Tokyo,Tokyo,Tokyo,,Love the Subhuman Self,,Tokyo,Love the Subhuman Self,Love the Subhuman Self,Love the Subhuman Self,Tokyo,Tokyo,Tokyo,Love the Subhuman Self,,,Tokyo,Love the Subhuman Self,Love the Subhuman Self,Love the Subhuman Self,Tokyo,,Tokyo,,Tokyo,Tokyo,Tokyo,Love the Subhuman Self,Tokyo,,,Tokyo,Love the Subhuman Self,Love the Subhuman Self,Tokyo,Love the Subhuman Self,Love the Subhuman Self,Tokyo,Tokyo,,Love the Subhuman Self,Tokyo,Love the Subhuman Self,Tokyo,Love the Subhuman Self,Tokyo,,Tokyo,,Tokyo
40,SHAKE YA BODY,Knight of a Foreign Country,22,45,67,23,Knight of a Foreign Country,,,,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,,SHAKE YA BODY,,,SHAKE YA BODY,SHAKE YA BODY,,Knight of a Foreign Country,,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,SHAKE YA BODY,Knight of a Foreign Country,SHAKE YA BODY,Knight of a Foreign Country,,SHAKE YA BODY,Knight of a Foreign Country,,Knight of a Foreign Country,,Knight of a Foreign Country,,Knight of a Foreign Country,Knight of a Foreign Country,SHAKE YA BODY,SHAKE YA BODY,SHAKE YA BODY,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,SHAKE YA BODY,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,,SHAKE YA BODY,,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,SHAKE YA BODY,SHAKE YA BODY,Knight of a Foreign Country,,,Knight of a Foreign Country,Knight of a Foreign Country,SHAKE YA BODY,SHAKE YA BODY,Knight of a Foreign Country,,SHAKE YA BODY,,Knight of a Foreign Country,Knight of a Foreign Country,SHAKE YA BODY,Knight of a Foreign Country,Knight of a Foreign Country,,,SHAKE YA BODY,SHAKE YA BODY,Knight of a Foreign Country,Knight of a Foreign Country,SHAKE YA BODY,Knight of a Foreign Country,Knight of a Foreign Country,SHAKE YA BODY,,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,Knight of a Foreign Country,,Knight of a Foreign Country,,SHAKE YA BODY
41,Banbard (Chroma Remix),LET IT DIE~Wandervogel~,51,17,68,34,Banbard (Chroma Remix),,,,Banbard (Chroma Remix),LET IT DIE~Wandervogel~,Banbard (Chroma Remix),Banbard (Chroma Remix),,Banbard (Chroma Remix),,,Banbard (Chroma Remix),Banbard (Chroma Remix),,LET IT DIE~Wandervogel~,,Banbard (Chroma Remix),LET IT DIE~Wandervogel~,Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),,Banbard (Chroma Remix),Banbard (Chroma Remix),,LET IT DIE~Wandervogel~,,Banbard (Chroma Remix),Banbard (Chroma Remix),LET IT DIE~Wandervogel~,Banbard (Chroma Remix),LET IT DIE~Wandervogel~,Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),,Banbard (Chroma Remix),,Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),,,Banbard (Chroma Remix),LET IT DIE~Wandervogel~,Banbard (Chroma Remix),LET IT DIE~Wandervogel~,LET IT DIE~Wandervogel~,,Banbard (Chroma Remix),,Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),LET IT DIE~Wandervogel~,,,Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),Banbard (Chroma Remix),LET IT DIE~Wandervogel~,LET IT DIE~Wandervogel~,,LET IT DIE~Wandervogel~,Banbard (Chroma Remix),LET IT DIE~Wandervogel~,LET IT DIE~Wandervogel~,Banbard (Chroma Remix),Banbard (Chroma Remix),,LET IT DIE~Wandervogel~,,LET IT DIE~Wandervogel~
42,Keeper,Fire Wire,23,41,64,18,Fire Wire,,Fire Wire,,Fire Wire,Fire Wire,Fire Wire,Keeper,,,,,,Keeper,,Fire Wire,,Fire Wire,Fire Wire,Fire Wire,Fire Wire,Fire Wire,Keeper,Keeper,Keeper,Keeper,Fire Wire,,Fire Wire,,Fire Wire,Keeper,Fire Wire,Fire Wire,Keeper,Keeper,Fire Wire,Fire Wire,Fire Wire,Fire Wire,Fire Wire,Fire Wire,Keeper,Fire Wire,,Fire Wire,,Fire Wire,Fire Wire,Fire Wire,Fire Wire,Keeper,Fire Wire,,,,,Keeper,,Keeper,Fire Wire,Fire Wire,,Keeper,Fire Wire,Keeper,Keeper,Fire Wire,Keeper,Fire Wire,,,Keeper,Fire Wire,Keeper,,Fire Wire,Fire Wire,Keeper,,,Fire Wire,Keeper,Fire Wire,Keeper,Fire Wire,Keeper,,Fire Wire,,Fire Wire
43,Museum of Agony,INARI 1st,23,42,65,19,INARI 1st,,Museum of Agony,,INARI 1st,INARI 1st,INARI 1st,,,,,,,Museum of Agony,,INARI 1st,Museum of Agony,INARI 1st,INARI 1st,INARI 1st,INARI 1st,INARI 1st,Museum of Agony,INARI 1st,INARI 1st,Museum of Agony,INARI 1st,,INARI 1st,,INARI 1st,Museum of Agony,INARI 1st,Museum of Agony,Museum of Agony,Museum of Agony,INARI 1st,INARI 1st,INARI 1st,INARI 1st,Museum of Agony,INARI 1st,INARI 1st,INARI 1st,,INARI 1st,,INARI 1st,INARI 1st,INARI 1st,INARI 1st,Museum of Agony,Museum of Agony,INARI 1st,,,,Museum of Agony,,Museum of Agony,INARI 1st,INARI 1st,,Museum of Agony,INARI 1st,Museum of Agony,INARI 1st,INARI 1st,INARI 1st,INARI 1st,,,Museum of Agony,INARI 1st,Museum of Agony,,Museum of Agony,INARI 1st,Museum of Agony,,,INARI 1st,Museum of Agony,INARI 1st,Museum of Agony,INARI 1st,Museum of Agony,,INARI 1st,,INARI 1st
44,Epicentre,Scream,44,20,64,24,Epicentre,,Epicentre,,Epicentre,Scream,Epicentre,Epicentre,,,,,,Epicentre,,Epicentre,Epicentre,Epicentre,Scream,Epicentre,Epicentre,Scream,Scream,Epicentre,Scream,Epicentre,Epicentre,,Scream,,Epicentre,,Epicentre,Scream,Epicentre,Epicentre,Epicentre,Scream,Scream,Epicentre,Epicentre,Epicentre,Epicentre,Epicentre,,Epicentre,,Epicentre,Scream,Epicentre,Scream,Epicentre,Epicentre,,,,,Epicentre,,Epicentre,Epicentre,Epicentre,,Epicentre,Scream,Scream,Epicentre,Epicentre,Epicentre,Scream,,,Scream,Epicentre,Epicentre,,Epicentre,Epicentre,Scream,,,Scream,Epicentre,Scream,Epicentre,Scream,Epicentre,,Scream,,Epicentre
45,Waltz of Meditation Part2,FestA of PandemoniuM,27,35,62,8,FestA of PandemoniuM,,,,Waltz of Meditation Part2,,Waltz of Meditation Part2,Waltz of Meditation Part2,,,,,,FestA of PandemoniuM,,FestA of PandemoniuM,Waltz of Meditation Part2,FestA of PandemoniuM,FestA of PandemoniuM,FestA of PandemoniuM,FestA of PandemoniuM,Waltz of Meditation Part2,FestA of PandemoniuM,FestA of PandemoniuM,Waltz of Meditation Part2,FestA of PandemoniuM,Waltz of Meditation Part2,,Waltz of Meditation Part2,,Waltz of Meditation Part2,FestA of PandemoniuM,FestA of PandemoniuM,Waltz of Meditation Part2,Waltz of Meditation Part2,FestA of PandemoniuM,FestA of PandemoniuM,Waltz of Meditation Part2,FestA of PandemoniuM,FestA of PandemoniuM,Waltz of Meditation Part2,FestA of PandemoniuM,Waltz of Meditation Part2,FestA of PandemoniuM,,Waltz of Meditation Part2,,FestA of PandemoniuM,FestA of PandemoniuM,FestA of PandemoniuM,FestA of PandemoniuM,Waltz of Meditation Part2,FestA of PandemoniuM,FestA of PandemoniuM,,,,Waltz of Meditation Part2,,Waltz of Meditation Part2,Waltz of Meditation Part2,Waltz of Meditation Part2,,FestA of PandemoniuM,,Waltz of Meditation Part2,FestA of PandemoniuM,FestA of PandemoniuM,FestA of PandemoniuM,FestA of PandemoniuM,,,Waltz of Meditation Part2,FestA of PandemoniuM,Waltz of Meditation Part2,,Waltz of Meditation Part2,FestA of PandemoniuM,,,,Waltz of Meditation Part2,Waltz of Meditation Part2,FestA of PandemoniuM,Waltz of Meditation Part2,FestA of PandemoniuM,FestA of PandemoniuM,FestA of PandemoniuM,Waltz of Meditation Part2,,FestA of PandemoniuM
46,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,37,22,59,15,Suna Gin,,,,Suna Gin,,Suna Gin,Suna Gin,,,,,,Suna Gin,,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Suna Gin,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Suna Gin,,,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Suna Gin,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,,Suna Gin,,Suna Gin,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Suna Gin,,,,Suna Gin,,Suna Gin,Suna Gin,Suna Gin,,Suna Gin,,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,,,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,,,,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,Suna Gin,Suna Gin,Suna Gin,Suna Gin,Kanashimi no Mephisto feat.Mahoushoujo Ran & Mahoushoujo Akane,,Suna Gin
47,Shutoko - Spiral Maze,Inherit the Stars,30,29,59,1,Shutoko - Spiral Maze,,,,Inherit the Stars,,Inherit the Stars,Inherit the Stars,,,,,,Inherit the Stars,,Shutoko - Spiral Maze,,Shutoko - Spiral Maze,Inherit the Stars,Shutoko - Spiral Maze,Inherit the Stars,Inherit the Stars,Inherit the Stars,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Inherit the Stars,,Inherit the Stars,,Shutoko - Spiral Maze,,Inherit the Stars,Shutoko - Spiral Maze,Inherit the Stars,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Inherit the Stars,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Inherit the Stars,Shutoko - Spiral Maze,Shutoko - Spiral Maze,,Inherit the Stars,,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Inherit the Stars,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Inherit the Stars,Inherit the Stars,,,,Inherit the Stars,,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Shutoko - Spiral Maze,,Inherit the Stars,,Shutoko - Spiral Maze,Inherit the Stars,Shutoko - Spiral Maze,,Shutoko - Spiral Maze,,,Inherit the Stars,Inherit the Stars,Shutoko - Spiral Maze,,Inherit the Stars,Shutoko - Spiral Maze,,,,Shutoko - Spiral Maze,Shutoko - Spiral Maze,Inherit the Stars,Shutoko - Spiral Maze,Inherit the Stars,Shutoko - Spiral Maze,Inherit the Stars,Inherit the Stars,,Inherit the Stars
48,Life Returns,Me and My Little War,21,43,64,22,Me and My Little War,,,,Me and My Little War,Me and My Little War,Me and My Little War,Me and My Little War,,Me and My Little War,,,,Me and My Little War,,Me and My Little War,,Me and My Little War,Me and My Little War,Life Returns,Me and My Little War,Life Returns,Life Returns,Life Returns,Me and My Little War,Me and My Little War,Me and My Little War,,Life Returns,,Life Returns,Me and My Little War,Me and My Little War,Life Returns,Life Returns,Me and My Little War,Me and My Little War,Life Returns,Me and My Little War,Me and My Little War,Life Returns,Me and My Little War,Me and My Little War,Me and My Little War,,Me and My Little War,,Me and My Little War,Me and My Little War,Me and My Little War,Life Returns,,Life Returns,Life Returns,Life Returns,,,Me and My Little War,,Me and My Little War,Life Returns,Me and My Little War,,,,Me and My Little War,Life Returns,Me and My Little War,Me and My Little War,Life Returns,,,Me and My Little War,Me and My Little War,Me and My Little War,Me and My Little War,Me and My Little War,Me and My Little War,Me and My Little War,,,Me and My Little War,Me and My Little War,Life Returns,Me and My Little War,Life Returns,Me and My Little War,,Life Returns,,Life Returns
49,Mazes 31-35,"Let's Dance, Boys!",24,40,64,16,"Let's Dance, Boys!",,,,"Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!",,Mazes 31-35,,,,Mazes 31-35,,"Let's Dance, Boys!",,"Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!",Mazes 31-35,"Let's Dance, Boys!","Let's Dance, Boys!",Mazes 31-35,"Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!",,Mazes 31-35,,"Let's Dance, Boys!",Mazes 31-35,"Let's Dance, Boys!",Mazes 31-35,Mazes 31-35,Mazes 31-35,"Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!",Mazes 31-35,Mazes 31-35,Mazes 31-35,"Let's Dance, Boys!",,"Let's Dance, Boys!",,"Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!",,"Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!",,,Mazes 31-35,,"Let's Dance, Boys!","Let's Dance, Boys!","Let's Dance, Boys!",,,,Mazes 31-35,"Let's Dance, Boys!",Mazes 31-35,"Let's Dance, Boys!","Let's Dance, Boys!",,,Mazes 31-35,Mazes 31-35,Mazes 31-35,"Let's Dance, Boys!",Mazes 31-35,"Let's Dance, Boys!",Mazes 31-35,,,"Let's Dance, Boys!",Mazes 31-35,"Let's Dance, Boys!",Mazes 31-35,"Let's Dance, Boys!",Mazes 31-35,,Mazes 31-35,,"Let's Dance, Boys!"
50,Can You Feel the Sunshine?,Misogi (Extended Mix),41,22,63,19,Can You Feel the Sunshine?,,,,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,,Can You Feel the Sunshine?,,,,Can You Feel the Sunshine?,,Misogi (Extended Mix),,Misogi (Extended Mix),Can You Feel the Sunshine?,Misogi (Extended Mix),Can You Feel the Sunshine?,Can You Feel the Sunshine?,Misogi (Extended Mix),Can You Feel the Sunshine?,Can You Feel the Sunshine?,Misogi (Extended Mix),Can You Feel the Sunshine?,,Misogi (Extended Mix),,Misogi (Extended Mix),Can You Feel the Sunshine?,Can You Feel the Sunshine?,Misogi (Extended Mix),Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Misogi (Extended Mix),Can You Feel the Sunshine?,Can You Feel the Sunshine?,Misogi (Extended Mix),Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,,Can You Feel the Sunshine?,,Misogi (Extended Mix),Can You Feel the Sunshine?,Misogi (Extended Mix),Misogi (Extended Mix),,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,,,Misogi (Extended Mix),,Can You Feel the Sunshine?,Misogi (Extended Mix),Misogi (Extended Mix),,,,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Misogi (Extended Mix),Can You Feel the Sunshine?,,,Misogi (Extended Mix),Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,,,,Can You Feel the Sunshine?,Misogi (Extended Mix),Can You Feel the Sunshine?,Can You Feel the Sunshine?,Misogi (Extended Mix),Misogi (Extended Mix),,Can You Feel the Sunshine?,,Misogi (Extended Mix)
51,Breathe the Black,My Dark Disquiet,25,34,59,9,My Dark Disquiet,,,,My Dark Disquiet,,My Dark Disquiet,My Dark Disquiet,,,,,,My Dark Disquiet,,Breathe the Black,,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,Breathe the Black,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,,Breathe the Black,Breathe the Black,,My Dark Disquiet,,Breathe the Black,,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,Breathe the Black,Breathe the Black,My Dark Disquiet,,,Breathe the Black,,Breathe the Black,My Dark Disquiet,My Dark Disquiet,Breathe the Black,,My Dark Disquiet,,,,,Breathe the Black,My Dark Disquiet,Breathe the Black,Breathe the Black,Breathe the Black,,Breathe the Black,,Breathe the Black,My Dark Disquiet,Breathe the Black,,,My Dark Disquiet,,Breathe the Black,My Dark Disquiet,Breathe the Black,My Dark Disquiet,My Dark Disquiet,Breathe the Black,My Dark Disquiet,Breathe the Black,,My Dark Disquiet,Breathe the Black,My Dark Disquiet,My Dark Disquiet,My Dark Disquiet,Breathe the Black,,Breathe the Black,,Breathe the Black
52,Blue Whitecaps,Fire! (1st. BGM),38,21,59,17,Blue Whitecaps,,,,Blue Whitecaps,,Blue Whitecaps,Blue Whitecaps,,,,,,Blue Whitecaps,,Fire! (1st. BGM),,Blue Whitecaps,Fire! (1st. BGM),Blue Whitecaps,Blue Whitecaps,Fire! (1st. BGM),Fire! (1st. BGM),Blue Whitecaps,,Blue Whitecaps,Fire! (1st. BGM),,Fire! (1st. BGM),,Blue Whitecaps,Blue Whitecaps,Blue Whitecaps,Fire! (1st. BGM),Blue Whitecaps,Fire! (1st. BGM),Blue Whitecaps,Fire! (1st. BGM),Fire! (1st. BGM),Blue Whitecaps,Blue Whitecaps,Blue Whitecaps,Blue Whitecaps,,,Blue Whitecaps,,Fire! (1st. BGM),Fire! (1st. BGM),Blue Whitecaps,Blue Whitecaps,,Blue Whitecaps,,,,,Blue Whitecaps,Blue Whitecaps,Blue Whitecaps,Fire! (1st. BGM),Fire! (1st. BGM),,Blue Whitecaps,,Fire! (1st. BGM),Blue Whitecaps,,,,Blue Whitecaps,,Fire! (1st. BGM),Blue Whitecaps,Blue Whitecaps,Fire! (1st. BGM),Blue Whitecaps,Fire! (1st. BGM),Fire! (1st. BGM),Blue Whitecaps,,Blue Whitecaps,Fire! (1st. BGM),Blue Whitecaps,Blue Whitecaps,Blue Whitecaps,Blue Whitecaps,,Fire! (1st. BGM),,Blue Whitecaps
53,RGB (OST Arrange ver.),Deep Blue,26,33,59,7,Deep Blue,,,,RGB (OST Arrange ver.),,Deep Blue,Deep Blue,,,,,,RGB (OST Arrange ver.),,RGB (OST Arrange ver.),,RGB (OST Arrange ver.),Deep Blue,Deep Blue,RGB (OST Arrange ver.),Deep Blue,RGB (OST Arrange ver.),Deep Blue,,Deep Blue,RGB (OST Arrange ver.),,RGB (OST Arrange ver.),,Deep Blue,RGB (OST Arrange ver.),Deep Blue,Deep Blue,RGB (OST Arrange ver.),RGB (OST Arrange ver.),RGB (OST Arrange ver.),RGB (OST Arrange ver.),Deep Blue,RGB (OST Arrange ver.),Deep Blue,RGB (OST Arrange ver.),RGB (OST Arrange ver.),,,Deep Blue,,RGB (OST Arrange ver.),Deep Blue,Deep Blue,Deep Blue,,Deep Blue,,,,,Deep Blue,Deep Blue,Deep Blue,Deep Blue,RGB (OST Arrange ver.),,RGB (OST Arrange ver.),,Deep Blue,Deep Blue,Deep Blue,,,Deep Blue,,Deep Blue,Deep Blue,RGB (OST Arrange ver.),Deep Blue,Deep Blue,Deep Blue,,Deep Blue,,Deep Blue,RGB (OST Arrange ver.),RGB (OST Arrange ver.),RGB (OST Arrange ver.),Deep Blue,RGB (OST Arrange ver.),,RGB (OST Arrange ver.),,RGB (OST Arrange ver.)
54,Ring Ring Ring!,Stage 3,44,19,63,25,Ring Ring Ring!,,,,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,Stage 3,,Stage 3,,,,Ring Ring Ring!,,Ring Ring Ring!,,Stage 3,Ring Ring Ring!,Stage 3,Ring Ring Ring!,Ring Ring Ring!,Stage 3,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,,Ring Ring Ring!,,Ring Ring Ring!,Stage 3,Ring Ring Ring!,Stage 3,Stage 3,,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,,,,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,Stage 3,Ring Ring Ring!,Stage 3,Ring Ring Ring!,,,Stage 3,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,Stage 3,,,,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,Stage 3,Ring Ring Ring!,,,Stage 3,Ring Ring Ring!,Stage 3,,Ring Ring Ring!,Ring Ring Ring!,Stage 3,,Ring Ring Ring!,Ring Ring Ring!,Stage 3,Ring Ring Ring!,Stage 3,Stage 3,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,,
55,Full Base,Into the storm,40,23,63,17,Full Base,,,,Full Base,Into the storm,Into the storm,Into the storm,,Full Base,,,,Full Base,,Full Base,,Full Base,Full Base,Full Base,Into the storm,Into the storm,Full Base,Into the storm,Into the storm,Full Base,Full Base,,Into the storm,,Full Base,Full Base,Full Base,Full Base,Into the storm,,Full Base,Into the storm,Full Base,Into the storm,,Full Base,Into the storm,Full Base,,,,Full Base,Full Base,Into the storm,Into the storm,Full Base,Into the storm,Full Base,Into the storm,,,Full Base,Into the storm,Full Base,Full Base,Into the storm,,,,Full Base,Full Base,Full Base,Full Base,Full Base,,,Full Base,Into the storm,Full Base,,Full Base,Into the storm,Full Base,,Into the storm,Full Base,Full Base,Into the storm,Full Base,Into the storm,Full Base,Full Base,Full Base,,
56,Panic Restaurant,Aria Math,19,42,61,23,Aria Math,,,,Aria Math,Aria Math,Aria Math,Aria Math,,Panic Restaurant,,,,Aria Math,,Panic Restaurant,,Aria Math,Aria Math,Panic Restaurant,Aria Math,Panic Restaurant,Panic Restaurant,Panic Restaurant,Aria Math,Aria Math,Aria Math,,Panic Restaurant,,Panic Restaurant,,Panic Restaurant,Aria Math,Aria Math,,Aria Math,Aria Math,Panic Restaurant,Aria Math,,Panic Restaurant,Aria Math,Panic Restaurant,,,,Aria Math,Aria Math,Aria Math,Panic Restaurant,Aria Math,Aria Math,Panic Restaurant,Aria Math,,,Aria Math,Aria Math,Aria Math,Aria Math,Panic Restaurant,,,,Panic Restaurant,Panic Restaurant,Aria Math,,Aria Math,,,Aria Math,Panic Restaurant,Aria Math,,Aria Math,Aria Math,Aria Math,,Panic Restaurant,Aria Math,Aria Math,Aria Math,Aria Math,Aria Math,Aria Math,Aria Math,Aria Math,,
